,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
318,319,600425,青松建化,3.79,3.27,0.12,376215.0,140805002.0,4.09,3.82,3.67,3.67,3.67,3.55,2.73,-27.38,0.99,6081827050.0,5225614426.0,0.0,0.26,3.84,-0.79
319,320,871396,常辅股份,45.18,3.27,1.43,63237.0,281377417.12,6.61,45.76,42.87,43.96,43.75,0.86,14.93,115.49,8.46,2709909050.0,1913080188.0,0.09,0.04,107.25,183.97
320,321,002274,华昌化工,7.29,3.26,0.23,253134.0,182849334.09,4.11,7.32,7.03,7.12,7.06,2.81,2.7,60.79,1.27,6942738269.0,6836920158.0,-0.14,-0.14,-5.45,-2.41
321,322,300198,ST纳川,2.54,3.25,0.08,220211.0,55124801.4,3.25,2.54,2.46,2.47,2.46,0.75,2.15,-15.22,31.22,2620133292.0,2602144684.0,0.0,0.4,28.93,20.95
322,323,000566,海南海药,6.7,3.24,0.21,2001222.0,1315376448.53,8.63,6.83,6.27,6.49,6.49,1.3,17.16,-31.79,19.03,8692346344.0,7811595211.0,-0.15,-0.15,33.47,39.87
323,324,000608,*ST阳光,1.91,3.24,0.06,283312.0,53731134.68,5.41,1.94,1.84,1.85,1.85,1.44,3.8,-22.07,0.62,1432334420.0,1422490853.0,0.0,-0.52,-8.17,-15.11
324,325,002960,青鸟消防,11.81,3.23,0.37,164781.0,192187644.67,4.37,11.85,11.35,11.4,11.44,1.84,2.67,31.02,1.41,8555571917.0,7299576103.0,0.0,-0.08,-10.87,1.2
325,326,301136,招标股份,13.46,3.22,0.42,304015.0,421397748.27,13.42,15.0,13.25,13.7,13.04,2.79,11.05,-173.67,2.56,3704256877.0,3704256877.0,0.0,0.15,12.64,13.68
326,327,603822,嘉澳环保,55.74,3.22,1.74,36510.0,202151881.0,7.13,56.35,52.5,54.0,54.0,1.96,4.75,-22.76,7.55,4282274886.0,4282274886.0,0.18,0.02,-9.66,14.32
327,328,603429,集友股份,8.36,3.21,0.26,155317.0,129950260.0,4.94,8.52,8.12,8.2,8.1,2.06,2.96,900.26,3.53,4384698487.0,4384698487.0,0.12,-0.24,9.0,33.55
