,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
347,348,上海自贸,BK0643,3030.86,-13.26,-0.44,906393232000,0.66,12,20,博通集成,5.92
348,349,AI语料,BK1172,962.97,-4.22,-0.44,347336624000,2.48,6,19,中国科传,4.57
349,350,第四代半导体,BK1121,1264.52,-5.56,-0.44,99592597000,0.97,1,2,中国西电,0.48
350,351,注册制次新股,BK0971,668.88,-2.99,-0.45,844506448000,7.37,34,54,博苑股份,7.69
351,352,Sora概念,BK1159,1518.84,-6.82,-0.45,343057072000,2.89,11,28,会畅通讯,3.93
352,353,基金重仓,BK0536,9886.07,-44.62,-0.45,8039161600000,1.12,45,71,东威科技,10.42
353,354,职业教育,BK1022,1254.56,-5.74,-0.46,617773712000,2.89,30,36,罗 牛 山,8.36
354,355,汽车一体化压铸,BK1093,1186.67,-5.47,-0.46,307330960000,2.39,11,18,长华集团,2.89
355,356,Kimi概念,BK1169,1047.84,-5.06,-0.48,459799168000,3.74,8,15,超讯通信,2.76
356,357,电子身份证,BK1075,1202.48,-5.82,-0.48,326984832000,5.68,14,20,恒宝股份,4.36
357,358,被动元件,BK0976,1246.29,-5.95,-0.48,371029872000,1.96,5,22,铂科新材,1.69
358,359,机器视觉,BK0998,1578.5,-7.77,-0.49,580819248000,2.84,27,47,佰奥智能,3.61
359,360,电子竞技,BK0853,1372.42,-6.81,-0.49,3204642384000,1.63,8,24,天府文旅,5.5
360,361,基因测序,BK0693,1841.57,-9.1,-0.49,477014752000,1.93,13,34,国发股份,2.65
361,362,共享经济,BK0807,873.22,-4.38,-0.5,224732104000,1.81,5,11,姚记科技,6.28
362,363,汽车热管理,BK1089,1694.49,-8.48,-0.5,764270976000,2.93,25,53,ST八菱,4.78
363,364,拼多多概念,BK0957,1305.55,-6.68,-0.51,141112545000,3.81,10,15,每日互动,5.12
364,365,化妆品概念,BK0974,1238.25,-6.46,-0.52,719050832000,2.94,19,35,常山药业,15.12
